,Year,League,Champion,Runner-Up,Finals MVP,Highest Total Points,Scored by,Highest Rebounds,Caught by,Highest Assists,Made by,Highest Win Shares,Player with HWS
0,2022,NBA,Golden State Warriors,Boston Celtics,S. Curry,615,J. Tatum,214,A. Horford,148,J. Tatum,3.8,J. Butler
1,2021,NBA,Milwaukee Bucks,Phoenix Suns,G. Antetokounmpo,634,G. Antetokounmpo,269,G. Antetokounmpo,199,J. Holiday,3.7,G. Antetokounmpo
2,2020,NBA,Los Angeles Lakers,Miami Heat,L. James,582,A. Davis,226,L. James,184,L. James,4.5,A. Davis
3,2019,NBA,Toronto Raptors,Golden State Warriors,K. Leonard,732,K. Leonard,223,D. Green,187,D. Green,4.9,K. Leonard
4,2018,NBA,Golden State Warriors,Cleveland Cavaliers,K. Durant,748,L. James,222,D. Green,198,L. James,5.2,L. James
5,2017,NBA,Golden State Warriors,Cleveland Cavaliers,K. Durant,591,L. James,191,K. Love,141,L. James,4.3,L. James
6,2016,NBA,Cleveland Cavaliers,Golden State Warriors,L. James,582,K. Thompson,228,D. Green,198,R. Westbrook,4.7,L. James
7,2015,NBA,Golden State Warriors,Cleveland Cavaliers,A. Iguodala,601,L. James,238,D. Howard,169,L. James,3.9,S. Curry
8,2014,NBA,San Antonio Spurs,Miami Heat,K. Leonard,563,K. Durant,211,T. Duncan,153,R. Westbrook,4.3,L. James
9,2013,NBA,Miami Heat,San Antonio Spurs,L. James,596,L. James,214,T. Duncan,152,L. James,5.2,L. James
10,2012,NBA,Miami Heat,Oklahoma City Thunder,L. James,697,L. James,224,L. James,227,R. Rondo,5.8,L. James
11,2011,NBA,Dallas Mavericks,Miami Heat,D. Nowitzki,582,D. Nowitzki,193,T. Chandler,153,J. Kidd,3.8,L. James
12,2010,NBA,Los Angeles Lakers,Boston Celtics,K. Bryant,671,K. Bryant,255,P. Gasol,223,R. Rondo,4.3,P. Gasol
13,2009,NBA,Los Angeles Lakers,Orlando Magic,K. Bryant,695,K. Bryant,353,D. Howard,137,R. Rondo,4.8,L. James
14,2008,NBA,Boston Celtics,Los Angeles Lakers,P. Pierce,633,K. Bryant,274,K. Garnett,172,R. Rondo,4.1,K. Garnett
15,2007,NBA,San Antonio Spurs,Cleveland Cavaliers,T. Parker,501,L. James,229,T. Duncan,159,L. James,3.7,L. James
16,2006,NBA,Miami Heat,Dallas Mavericks,D. Wade,654,D. Wade,268,D. Nowitzki,204,S. Nash,5.4,D. Nowitzki
17,2005,NBA,San Antonio Spurs,Detroit Pistons,T. Duncan,542,T. Duncan,286,T. Duncan,170,S. Nash,4.6,C. Billups
18,2004,NBA,Detroit Pistons,Los Angeles Lakers,C. Billups,539,K. Bryant,328,B. Wallace,136,C. Billups,3.9,S. O'Neal
19,2003,NBA,San Antonio Spurs,New Jersey Nets,T. Duncan,593,T. Duncan,369,T. Duncan,163,J. Kidd,5.9,T. Duncan
20,2002,NBA,Los Angeles Lakers,New Jersey Nets,S. O'Neal,541,S. O'Neal,239,S. O'Neal,182,J. Kidd,3.8,S. O'Neal
21,2001,NBA,Los Angeles Lakers,New Jersey Nets,S. O'Neal,541,S. O'Neal,239,S. O'Neal,182,J. Kidd,3.8,S. O'Neal
22,2000,NBA,Los Angeles Lakers,Philadelphia 76ers,S. O'Neal,723,A. Iverson,316,D. Mutombo,134,A. Iverson,3.8,K. Bryant
23,1999,NBA,Los Angeles Lakers,Indiana Pacers,S. O'Neal,707,S. O'Neal,355,S. O'Neal,178,M. Jackson,4.7,S. O'Neal
24,1998,NBA,San Antonio Spurs,New York Knicks,T. Duncan,407,L. Sprewell,195,T. Duncan,126,A. Johnson,3.7,T. Duncan
25,1997,NBA,Chicago Bulls,Utah Jazz,M. Jordan,680,M. Jordan,248,D. Rodman,155,J. Stockton,4.8,M. Jordan
26,1996,NBA,Chicago Bulls,Utah Jazz,M. Jordan,590,M. Jordan,228,K. Malone,191,J. Stockton,3.9,M. Jordan
27,1995,NBA,Chicago Bulls,Seattle SuperSonics,M. Jordan,552,M. Jordan,247,D. Rodman,195,J. Stockton,4.7,M. Jordan
28,1994,NBA,Houston Rockets,Orlando Magic,H. Olajuwon,725,H. Olajuwon,250,S. O'Neal,162,A. Hardaway,3.0,S. O'Neal
29,1993,NBA,Houston Rockets,New York Knicks,H. Olajuwon,664,H. Olajuwon,293,P. Ewing,157,J. Stockton,4.3,H. Olajuwon
30,1992,NBA,Chicago Bulls,Phoenix Suns,M. Jordan,666,M. Jordan,326,C. Barkley,182,K. Johnson,4.6,C. Barkley
31,1991,NBA,Chicago Bulls,Portland Trail Blazers,M. Jordan,759,M. Jordan,194,H. Grant,217,J. Stockton,4.1,M. Jordan
32,1990,NBA,Chicago Bulls,Los Angeles Lakers,M. Jordan,529,M. Jordan,177,D. Rodman,240,M. Johnson,4.8,M. Jordan
33,1989,NBA,Detroit Pistons,Portland Trail Blazers,I. Thomas,587,M. Jordan,211,B. Laimbeer,170,K. Johnson,4.0,M. Jordan
34,1988,NBA,Detroit Pistons,Los Angeles Lakers,J. Dumars,591,M. Jordan,170,D. Rodman,165,M. Johnson,4.0,M. Jordan
35,1987,NBA,Los Angeles Lakers,Detroit Pistons,J. Worthy,506,J. Worthy,221,B. Laimbeer,303,M. Johnson,4.0,M. Johnson
36,1986,NBA,Los Angeles Lakers,Boston Celtics,M. Johnson,622,L. Bird,231,L. Bird,219,M. Johnson,3.7,M. Johnson
37,1985,NBA,Boston Celtics,Houston Rockets,L. Bird,537,H. Olajuwon,236,H. Olajuwon,211,M. Johnson,4.2,L. Bird
38,1984,NBA,Los Angeles Lakers,Boston Celtics,K. Abdul-Jabbar,520,L. Bird,219,R. Parish,289,M. Johnson,3.0,M. Johnson
39,1983,NBA,Boston Celtics,Los Angeles Lakers,L. Bird,632,L. Bird,252,L. Bird,284,M. Johnson,4.7,L. Bird
40,1982,NBA,Philadelphia 76ers,Los Angeles Lakers,M. Malone,406,K. Abdul-Jabbar,206,M. Malone,192,M. Johnson,2.8,M. Malone
